stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
VPB,Q12013,,,976.0,489.0,24438.0,15425.0,9073.0,-61.0,3627.0,3651.0,-24.0,,41120.0,41580.0,-460.0,,,,25183.0,25192.0,,-9.0,67.0,,,68.0,0.0,430.0,253.0,255.0,-77.0,,177.0,29.0,30.0,-1.0,16252.0,10730.0,2948.0,6.0,2660.0,,-92.0,112611.0,,,26496.0,13567.0,12928.0,68716.0,23.0,65.0,3422.0,7141.0,1603.0,,5516.0,22.0,105862.0,6749.0,5771.0,5770.0,,1.0,,,,233.0,-26.0,,771.0,,,112611.0
VPB,Q12014,,,1822.0,3041.0,12432.0,7195.0,5272.0,-35.0,7217.0,7231.0,-14.0,,53473.0,54238.0,-765.0,,,,35346.0,34758.0,683.0,-95.0,72.0,,,72.0,0.0,408.0,234.0,275.0,-102.0,,173.0,29.0,30.0,-1.0,16166.0,10707.0,3342.0,,2885.0,,-768.0,130005.0,,,17884.0,11754.0,6130.0,89026.0,136.0,79.0,7601.0,7392.0,2067.0,,5284.0,41.0,122118.0,7886.0,6349.0,6347.0,,1.0,,,,301.0,3.0,,1234.0,,,130005.0
VPB,Q12015,,,1141.0,1744.0,14743.0,7061.0,7904.0,-222.0,3723.0,3730.0,-7.0,0.0,84031.0,84991.0,-960.0,0.0,0.0,0.0,43830.0,40081.0,4023.0,-274.0,33.0,0.0,0.0,34.0,0.0,610.0,297.0,452.0,-138.0,0.0,313.0,28.0,30.0,-2.0,14757.0,7583.0,4129.0,3289.0,0.0,56.0,-244.0,164641.0,,0.0,22497.0,13200.0,9296.0,111690.0,211.0,150.0,14267.0,6417.0,2202.0,0.0,4215.0,0.0,155233.0,9408.0,6349.0,6347.0,0.0,1.0,0.0,0.0,0.0,541.0,114.0,0.0,2404.0,0.0,0.0,164641.0
VPB,Q12016,,,1568.0,1934.0,18894.0,12623.0,6272.0,-1.0,1229.0,1229.0,,,113450.0,115196.0,-1747.0,,,,55253.0,51614.0,4562.0,-923.0,322.0,,,322.0,0.0,500.0,331.0,331.0,-162.0,,169.0,27.0,30.0,-2.0,10315.0,2386.0,4382.0,,3784.0,31.0,-236.0,203493.0,,8.0,23512.0,14986.0,8526.0,129211.0,243.0,367.0,30773.0,5171.0,2803.0,,2368.0,,189285.0,14208.0,10470.0,9181.0,,1289.0,,,,1267.0,-50.0,,2521.0,,,203493.0
VPB,Q12017,,,1790.0,1828.0,7185.0,6225.0,961.0,-1.0,2312.0,2314.0,-2.0,,149533.0,152155.0,-2622.0,,,,52890.0,49780.0,4044.0,-934.0,236.0,,,299.0,-64.0,700.0,414.0,489.0,-203.0,,286.0,27.0,30.0,-3.0,13347.0,5905.0,3993.0,,3674.0,6.0,-224.0,229847.0,,28.0,14220.0,3539.0,10681.0,129500.0,200.0,2275.0,56905.0,8040.0,3730.0,,4310.0,,211168.0,18679.0,12054.0,10765.0,,1289.0,,,,2470.0,-36.0,,4191.0,,,229847.0
VPB,Q12018,,,2633.0,2558.0,23127.0,20385.0,2742.0,-1.0,2290.0,2290.0,,,185629.0,189116.0,-3487.0,511.0,512.0,-1.0,51673.0,48705.0,4134.0,-1166.0,220.0,,,228.0,-7.0,776.0,439.0,631.0,-295.0,,336.0,,,,14971.0,7566.0,3909.0,,3517.0,,-21.0,284388.0,,2026.0,24719.0,7430.0,17289.0,143121.0,146.0,3778.0,66806.0,12157.0,5461.0,,6697.0,,252753.0,31635.0,21572.0,15706.0,,5866.0,,,,6306.0,-3.0,,3760.0,,,284388.0
VPB,Q12019,,,2504.0,3527.0,8638.0,7269.0,1369.0,,4244.0,4259.0,-15.0,23.0,227412.0,231458.0,-4046.0,,,,54948.0,52960.0,2753.0,-765.0,172.0,,,228.0,-56.0,1953.0,1388.0,979.0,-413.0,,566.0,,,,18659.0,11361.0,4507.0,,2833.0,,-42.0,322080.0,,22.0,39855.0,6980.0,32875.0,188117.0,,325.0,46862.0,10719.0,5609.0,0.0,5110.0,,285900.0,36180.0,24097.0,25300.0,,1289.0,-2492.0,,,7200.0,8.0,,4875.0,,,322080.0
VPB,Q12020,,,3142.0,1440.0,13324.0,9064.0,4260.0,,1118.0,1123.0,-5.0,252.0,259594.0,263748.0,-4154.0,,,,88121.0,87411.0,984.0,-274.0,134.0,,,239.0,-105.0,1843.0,1297.0,1107.0,-560.0,,546.0,,,,24242.0,15963.0,5590.0,,2720.0,,-31.0,393209.0,,19.0,63735.0,11454.0,52281.0,215716.0,,276.0,56343.0,12597.0,7502.0,,5095.0,,348685.0,44524.0,23296.0,25300.0,,693.0,-2696.0,,,7107.0,,,14120.0,,,393209.0
VPB,Q12021,,,2729.0,3770.0,18790.0,13609.0,5180.0,,5504.0,5557.0,-53.0,,296602.0,301173.0,-4571.0,249.0,251.0,-2.0,79949.0,79555.0,846.0,-452.0,239.0,,,239.0,0.0,1803.0,1171.0,1382.0,-749.0,,633.0,,,,26607.0,19542.0,5070.0,,2040.0,,-45.0,436241.0,,30.0,70922.0,22498.0,48424.0,232427.0,64.0,164.0,64955.0,11684.0,6357.0,,5327.0,,380246.0,55995.0,23466.0,25300.0,,366.0,-2199.0,,,11912.0,,,20617.0,,,436241.0
VPB,Q12022,,,2181.0,4754.0,51851.0,39494.0,12357.0,,3838.0,3849.0,-10.0,34.0,362946.0,374457.0,-11511.0,943.0,950.0,-7.0,92350.0,92416.0,567.0,-632.0,250.0,,,250.0,,1810.0,1175.0,1576.0,-941.0,,635.0,,,,42968.0,35652.0,5275.0,,2098.0,80.0,-57.0,563924.0,,1301.0,103755.0,38726.0,65028.0,274149.0,,87.0,76782.0,12649.0,5660.0,6989.0,6989.0,,468722.0,95202.0,43374.0,45057.0,,77.0,-1761.0,,,12559.0,,,31111.0,8159.0,,563924.0
